1712246894.794077 {'latitude': 51.177513333, 'longitude': 4.415205}
1712246895.943487 {'latitude': 51.177515, 'longitude': 4.415205}
1712246897.092589 {'latitude': 51.177515, 'longitude': 4.415205}
1712246898.247458 {'latitude': 51.177516667, 'longitude': 4.415203333}
1712246899.395494 {'latitude': 51.177516667, 'longitude': 4.415201667}
1712246900.541535 {'latitude': 51.177518333, 'longitude': 4.415198333}
1712246901.731488 {'latitude': 51.177518333, 'longitude': 4.415196667}
1712246902.863417 {'latitude': 51.177518333, 'longitude': 4.415193333}
1712246904.03474 {'latitude': 51.177518333, 'longitude': 4.415191667}
1712246905.166162 {'latitude': 51.17752, 'longitude': 4.41519}
1712246906.297914 {'latitude': 51.17752, 'longitude': 4.415188333}
1712246907.417999 {'latitude': 51.177521667, 'longitude': 4.415188333}
1712246908.537133 {'latitude': 51.177521667, 'longitude': 4.41519}
1712246909.659204 {'latitude': 51.177523333, 'longitude': 4.41519}
1712246910.780306 {'latitude': 51.177523333, 'longitude': 4.415191667}
1712246911.899438 {'latitude': 51.177523333, 'longitude': 4.415191667}
1712246913.026349 {'latitude': 51.177525, 'longitude': 4.415191667}
1712246914.144626 {'latitude': 51.177525, 'longitude': 4.415191667}
1712246915.267629 {'latitude': 51.177525, 'longitude': 4.415191667}
1712246916.385551 {'latitude': 51.177525, 'longitude': 4.415185}
1712246917.505973 {'latitude': 51.177526667, 'longitude': 4.415183333}
1712246918.62658 {'latitude': 51.177528333, 'longitude': 4.415181667}
1712246919.751042 {'latitude': 51.177528333, 'longitude': 4.41518}
1712246920.87102 {'latitude': 51.17753, 'longitude': 4.41518}
1712246921.991624 {'latitude': 51.177531667, 'longitude': 4.415178333}
1712246923.11261 {'latitude': 51.177533333, 'longitude': 4.415176667}
1712246924.232284 {'latitude': 51.177535, 'longitude': 4.415175}
1712246925.430914 {'latitude': 51.177536667, 'longitude': 4.415181667}
1712246926.550712 {'latitude': 51.177545, 'longitude': 4.415185}
1712246927.668556 {'latitude': 51.17755, 'longitude': 4.41519}
1712246928.796059 {'latitude': 51.177553333, 'longitude': 4.415193333}
1712246929.916559 {'latitude': 51.177558333, 'longitude': 4.415191667}
1712246931.036621 {'latitude': 51.177563333, 'longitude': 4.41519}
1712246932.158864 {'latitude': 51.177568333, 'longitude': 4.415198333}
1712246933.278805 {'latitude': 51.177573333, 'longitude': 4.415205}
1712246934.401471 {'latitude': 51.177576667, 'longitude': 4.415216667}
1712246935.52255 {'latitude': 51.177586667, 'longitude': 4.415216667}
1712246936.644383 {'latitude': 51.17759, 'longitude': 4.415216667}
1712246937.766212 {'latitude': 51.177595, 'longitude': 4.41522}
1712246938.887813 {'latitude': 51.177598333, 'longitude': 4.415215}
1712246940.010864 {'latitude': 51.177598333, 'longitude': 4.415215}
1712246941.132396 {'latitude': 51.177598333, 'longitude': 4.415213333}
1712246942.252552 {'latitude': 51.1776, 'longitude': 4.415213333}
1712246943.371641 {'latitude': 51.1776, 'longitude': 4.415213333}
1712246944.490962 {'latitude': 51.1776, 'longitude': 4.415213333}
1712246945.610713 {'latitude': 51.1776, 'longitude': 4.415213333}
1712246946.736262 {'latitude': 51.177601667, 'longitude': 4.415211667}
1712246947.855639 {'latitude': 51.177601667, 'longitude': 4.415211667}
1712246948.983392 {'latitude': 51.177601667, 'longitude': 4.41521}
1712246950.104392 {'latitude': 51.177603333, 'longitude': 4.415211667}
1712246951.2258 {'latitude': 51.177603333, 'longitude': 4.41521}
1712246952.344857 {'latitude': 51.177603333, 'longitude': 4.41521}
1712246953.467839 {'latitude': 51.177603333, 'longitude': 4.41521}
1712246954.589945 {'latitude': 51.177603333, 'longitude': 4.41521}
1712246955.771615 {'latitude': 51.177603333, 'longitude': 4.41521}
1712246956.892824 {'latitude': 51.177601667, 'longitude': 4.415208333}
1712246958.011536 {'latitude': 51.177601667, 'longitude': 4.415206667}
1712246959.18302 {'latitude': 51.177601667, 'longitude': 4.415206667}
1712246960.315906 {'latitude': 51.177603333, 'longitude': 4.415205}
1712246961.49632 {'latitude': 51.177603333, 'longitude': 4.415203333}
1712246962.61671 {'latitude': 51.177603333, 'longitude': 4.415203333}
1712246963.797262 {'latitude': 51.177603333, 'longitude': 4.415201667}
1712246964.917888 {'latitude': 51.177603333, 'longitude': 4.4152}
1712246966.043195 {'latitude': 51.177603333, 'longitude': 4.415198333}
1712246967.159974 {'latitude': 51.177605, 'longitude': 4.415195}
1712246968.276946 {'latitude': 51.177605, 'longitude': 4.415193333}
