1712246894.960049 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246896.104221 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246897.255608 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246898.399059 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246899.542033 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246900.686678 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246901.828185 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246902.970684 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246904.114771 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246905.256604 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246906.419118 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246907.558969 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246908.702038 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246909.843069 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246910.985008 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246912.132916 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246913.277556 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246914.427599 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246915.571036 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246916.717867 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246917.861001 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246919.005433 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246920.151771 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246921.295603 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246922.437503 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246923.579333 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246924.722371 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246925.864296 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246927.010162 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246928.156523 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246929.30005 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246930.442889 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246931.584955 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246932.72898 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246933.871902 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246935.015731 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246936.160898 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246937.305735 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246938.456948 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246939.599094 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246940.739851 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246941.882375 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246943.030669 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246944.17604 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246945.318968 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246946.464963 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246947.607279 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246948.753066 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246949.898382 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246951.057136 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246952.20685 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246953.41732 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246954.609128 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246955.791038 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246956.935017 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246958.076203 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246959.222515 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246960.366976 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246961.51107 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246962.652475 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246963.797229 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246964.940461 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246966.083939 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246967.225043 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246968.365129 {'latitude': 51.21191, 'longitude': 4.461468333}
1712246969.508387 {'latitude': 51.21191, 'longitude': 4.46147}
1712246970.652232 {'latitude': 51.21191, 'longitude': 4.46147}
1712246971.79523 {'latitude': 51.21191, 'longitude': 4.461471667}
1712246972.946947 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246974.089981 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246975.232359 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246976.374596 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246977.518507 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246978.660364 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246979.804967 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246980.949015 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246982.090234 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246983.232589 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246984.373796 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246985.513836 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246986.657586 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246987.820402 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246988.972431 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246990.114231 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246991.257045 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246992.399052 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246993.560245 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246994.703764 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246995.864046 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246997.007111 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246998.150389 {'latitude': 51.21191, 'longitude': 4.461473333}
1712246999.289157 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247000.43116 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247001.575689 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247002.71782 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247003.860908 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247005.006031 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247006.145899 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247007.288771 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247008.446153 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247009.589142 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247010.734572 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247011.879176 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247013.023494 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247014.16772 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247015.31154 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247016.453982 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247017.59706 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247018.742313 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247019.886763 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247021.032604 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247022.177423 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247023.319307 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247024.463732 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247025.6092 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247026.75326 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247027.919919 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247029.064947 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247030.268224 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247031.415186 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247032.561085 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247033.704019 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247034.859822 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247036.004149 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247037.147382 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247038.380569 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247039.523934 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247040.672078 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247041.819485 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247043.061706 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247044.270339 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247045.415317 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247046.561744 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247047.705031 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247048.847623 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247049.990913 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247051.13297 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247052.274762 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247053.417558 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247054.568303 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247055.713887 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247056.857177 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247058.000806 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247059.14656 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247060.291853 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247061.490458 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247062.693058 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247063.890747 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247065.077081 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247066.24621 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247067.410739 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247068.592309 {'latitude': 51.21191, 'longitude': 4.461473333}
1712247069.78449 {'latitude': 51.21191, 'longitude': 4.461473333}
