1715164775.584426 {'latitude': 51.210618333, 'longitude': 4.48094}
1715164776.728055 {'latitude': 51.21062, 'longitude': 4.48094}
1715164777.876512 {'latitude': 51.21062, 'longitude': 4.480941667}
1715164779.022993 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164780.174142 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164781.32033 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164782.468788 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164783.611313 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164784.758965 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164785.901339 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164787.051495 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164788.198255 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164789.350382 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164790.496764 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164791.646598 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164792.798497 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164793.944587 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164795.089442 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164796.233266 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164797.381961 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164798.526163 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164799.676553 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164800.821665 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164801.962095 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164803.10805 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164804.2507 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164805.397307 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164806.542265 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164807.687422 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164808.838099 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164809.984918 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164811.132022 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164812.274221 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164813.420891 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164814.565013 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164815.711449 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164816.85968 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164818.005206 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164819.146881 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164820.292045 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164821.438101 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164822.585435 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164823.73351 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164824.882044 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164826.173892 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164827.491221 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164828.637649 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164829.78263 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164830.929505 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164832.073066 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164833.217461 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164834.364168 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164835.512968 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164836.665058 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164837.80888 {'latitude': 51.210621667, 'longitude': 4.480941667}
1715164838.953282 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164840.099559 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164841.246071 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164842.393794 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164843.542359 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164844.690348 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164845.834117 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164846.984006 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164848.128357 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164849.273308 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164850.423168 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164851.58214 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164852.729162 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164853.876795 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164855.025918 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164856.173964 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164857.324895 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164858.47552 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164859.62088 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164860.768545 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164861.913343 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164863.059242 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164864.203087 {'latitude': 51.210621667, 'longitude': 4.48094}
1715164865.349038 {'latitude': 51.21062, 'longitude': 4.48094}
1715164866.498485 {'latitude': 51.21062, 'longitude': 4.48094}
1715164867.646363 {'latitude': 51.21062, 'longitude': 4.48094}
1715164868.793355 {'latitude': 51.21062, 'longitude': 4.48094}
1715164869.935766 {'latitude': 51.21062, 'longitude': 4.48094}
1715164871.084098 {'latitude': 51.21062, 'longitude': 4.48094}
1715164872.228615 {'latitude': 51.21062, 'longitude': 4.48094}
1715164873.371877 {'latitude': 51.21062, 'longitude': 4.48094}
1715164874.517344 {'latitude': 51.21062, 'longitude': 4.48094}
1715164875.667875 {'latitude': 51.21062, 'longitude': 4.48094}
1715164876.81345 {'latitude': 51.21062, 'longitude': 4.48094}
1715164877.959435 {'latitude': 51.21062, 'longitude': 4.48094}
1715164879.102572 {'latitude': 51.21062, 'longitude': 4.48094}
1715164880.245339 {'latitude': 51.21062, 'longitude': 4.48094}
1715164881.389182 {'latitude': 51.21062, 'longitude': 4.48094}
1715164882.534145 {'latitude': 51.21062, 'longitude': 4.48094}
1715164883.677455 {'latitude': 51.21062, 'longitude': 4.48094}
1715164884.823444 {'latitude': 51.21062, 'longitude': 4.48094}
1715164885.968828 {'latitude': 51.21062, 'longitude': 4.48094}
1715164887.116531 {'latitude': 51.21062, 'longitude': 4.48094}
1715164888.265762 {'latitude': 51.21062, 'longitude': 4.48094}
