1715164775.052205 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164776.172669 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164777.29822 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164778.422891 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164779.546858 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164780.675788 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164781.800454 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164782.926307 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164784.055135 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164785.175707 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164786.3081 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164787.437526 {'latitude': 51.215208333, 'longitude': 4.45059}
1715164788.563506 {'latitude': 51.215206667, 'longitude': 4.450588333}
1715164789.687517 {'latitude': 51.215206667, 'longitude': 4.450588333}
1715164790.811391 {'latitude': 51.215206667, 'longitude': 4.450588333}
1715164791.968193 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164793.094878 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164794.222221 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164795.34911 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164796.524079 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164797.648634 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164798.7729 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164799.973891 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164801.179502 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164802.311716 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164803.512388 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164804.641049 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164805.767092 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164806.895903 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164808.02179 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164809.144189 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164810.264389 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164811.388625 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164812.561578 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164813.686961 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164814.810241 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164815.934408 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164817.060324 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164818.18821 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164819.310868 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164820.432751 {'latitude': 51.215206667, 'longitude': 4.45059}
1715164821.558218 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164822.685215 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164823.809534 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164824.935506 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164826.062574 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164827.186145 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164828.310921 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164829.433209 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164830.555905 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164831.680602 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164832.830563 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164833.953052 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164835.128448 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164836.253397 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164837.378074 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164838.509651 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164839.645663 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164840.778097 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164841.904031 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164843.025425 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164844.149438 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164845.270626 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164846.455259 {'latitude': 51.215206667, 'longitude': 4.450591667}
1715164847.584604 {'latitude': 51.215205, 'longitude': 4.450591667}
1715164848.70773 {'latitude': 51.215205, 'longitude': 4.450591667}
1715164849.836322 {'latitude': 51.215205, 'longitude': 4.450591667}
1715164850.964362 {'latitude': 51.215205, 'longitude': 4.450591667}
1715164852.096397 {'latitude': 51.215205, 'longitude': 4.450591667}
1715164853.227538 {'latitude': 51.215205, 'longitude': 4.450591667}
1715164854.347019 {'latitude': 51.215205, 'longitude': 4.45059}
1715164855.47787 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164856.598794 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164857.721855 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164858.84968 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164859.976941 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164861.10406 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164862.232338 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164863.355533 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164864.48403 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164865.607521 {'latitude': 51.215205, 'longitude': 4.450588333}
1715164866.731909 {'latitude': 51.215205, 'longitude': 4.450586667}
1715164867.856387 {'latitude': 51.215205, 'longitude': 4.450585}
1715164868.981555 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164870.107472 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164871.233019 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164872.358923 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164873.47883 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164874.600375 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164875.728193 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164876.855181 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164877.981618 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164879.189114 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164880.354485 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164881.477172 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164882.599593 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164883.720246 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164884.878957 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164886.018839 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164887.157619 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164888.278719 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164889.400659 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164890.525247 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164891.652044 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164892.779587 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164893.900238 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164895.02768 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164896.155333 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164897.283056 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164898.405594 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164899.532512 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164900.656772 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164901.787841 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164902.923873 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164904.044518 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164905.167127 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164906.292254 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164907.417831 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164908.54306 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164909.667878 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164910.800206 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164911.923511 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164913.052314 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164914.175742 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164915.303307 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164916.425839 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164917.546244 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164918.689186 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164919.821662 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164920.946228 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164922.073828 {'latitude': 51.215205, 'longitude': 4.450583333}
1715164923.196972 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164924.34765 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164925.484262 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164926.62006 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164927.748751 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164928.878244 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164930.003464 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164931.130897 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164932.260838 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164933.385026 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164934.517332 {'latitude': 51.215205, 'longitude': 4.450581667}
1715164935.661677 {'latitude': 51.215205, 'longitude': 4.45058}
1715164936.790298 {'latitude': 51.215205, 'longitude': 4.45058}
1715164937.916444 {'latitude': 51.215205, 'longitude': 4.45058}
1715164939.081451 {'latitude': 51.215205, 'longitude': 4.45058}
1715164940.223686 {'latitude': 51.215205, 'longitude': 4.45058}
1715164941.351216 {'latitude': 51.215205, 'longitude': 4.45058}
1715164942.481482 {'latitude': 51.215205, 'longitude': 4.45058}
1715164943.610109 {'latitude': 51.215205, 'longitude': 4.45058}
1715164944.755259 {'latitude': 51.215205, 'longitude': 4.45058}
1715164945.882117 {'latitude': 51.215205, 'longitude': 4.45058}
1715164947.00935 {'latitude': 51.215205, 'longitude': 4.45058}
1715164948.131139 {'latitude': 51.215205, 'longitude': 4.45058}
1715164949.262514 {'latitude': 51.215205, 'longitude': 4.45058}
1715164950.394584 {'latitude': 51.215205, 'longitude': 4.45058}
1715164951.62094 {'latitude': 51.215205, 'longitude': 4.45058}
1715164952.749521 {'latitude': 51.215205, 'longitude': 4.45058}
1715164953.875369 {'latitude': 51.215205, 'longitude': 4.45058}
1715164955.003953 {'latitude': 51.215205, 'longitude': 4.45058}
1715164956.133913 {'latitude': 51.215205, 'longitude': 4.45058}
1715164957.258734 {'latitude': 51.215205, 'longitude': 4.45058}
1715164958.378697 {'latitude': 51.215205, 'longitude': 4.45058}
1715164959.503935 {'latitude': 51.215205, 'longitude': 4.45058}
1715164960.63633 {'latitude': 51.215205, 'longitude': 4.45058}
1715164961.775606 {'latitude': 51.215205, 'longitude': 4.45058}
1715164962.901446 {'latitude': 51.215205, 'longitude': 4.45058}
1715164964.030888 {'latitude': 51.215205, 'longitude': 4.45058}
1715164965.153851 {'latitude': 51.215205, 'longitude': 4.45058}
1715164966.276636 {'latitude': 51.215205, 'longitude': 4.45058}
1715164967.407254 {'latitude': 51.215205, 'longitude': 4.45058}
1715164968.530757 {'latitude': 51.215205, 'longitude': 4.450578333}
1715164969.655644 {'latitude': 51.215205, 'longitude': 4.450578333}
1715164970.819489 {'latitude': 51.215205, 'longitude': 4.450578333}
1715164971.950369 {'latitude': 51.215205, 'longitude': 4.450578333}
1715164973.199651 {'latitude': 51.215205, 'longitude': 4.450578333}
1715164974.403351 {'latitude': 51.215205, 'longitude': 4.450578333}
1715164975.65354 {'latitude': 51.215205, 'longitude': 4.450578333}
1715164976.785962 {'latitude': 51.215205, 'longitude': 4.450578333}
1715164977.919628 {'latitude': 51.215205, 'longitude': 4.450578333}
1715164979.040402 {'latitude': 51.215205, 'longitude': 4.450578333}
