1715164963.641841 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164965.678726 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164967.726799 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164969.753245 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164971.773724 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164973.695953 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164975.731456 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164977.782509 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164979.845711 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164981.87111 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164983.911145 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164985.87208 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164987.920483 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164989.979127 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164991.950795 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164994.012653 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164996.070431 {'latitude': 51.33742, 'longitude': 4.283468333}
1715164998.145516 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165000.170429 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165002.075651 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165004.174915 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165006.206562 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165008.211066 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165010.285457 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165012.241968 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165014.220852 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165016.309223 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165018.318056 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165020.321662 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165022.381146 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165024.381113 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165026.417478 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165028.470485 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165030.528159 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165032.591125 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165034.667975 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165036.652046 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165038.656876 {'latitude': 51.33742, 'longitude': 4.283468333}
1715165040.711833 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165042.739221 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165044.749938 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165046.800103 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165048.770555 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165050.790939 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165052.749463 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165054.749786 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165056.758749 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165058.778751 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165060.817871 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165062.749109 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165064.830408 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165066.859541 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165068.881747 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165070.950806 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165073.04866 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165075.058018 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165077.120049 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165079.109901 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165081.148418 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165083.243618 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165085.285053 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165087.267247 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165089.347 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165091.376901 {'latitude': 51.337418333, 'longitude': 4.283468333}
1715165093.425905 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165095.479385 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165097.530993 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165099.538607 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165101.656646 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165103.691235 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165105.728101 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165107.849788 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165109.885347 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165111.910469 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165113.96251 {'latitude': 51.337418333, 'longitude': 4.28347}
1715165115.92888 {'latitude': 51.337418333, 'longitude': 4.28347}
